WallName,WallGlobalId,Name,GUID,Length,Width,Start_Point,Mid_Point,End_Point,Building_Storey
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,33VenhTmT2zgbB8C9UH0t$,2.4900000000000055,3.048,"[58.826120129918316, -1.3340000000001997, -0.18000000000000158]","[60.07112012991831, -1.3340000000001997, -0.18000000000000158]","[61.31612012991832, -1.3340000000001997, -0.18000000000000158]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,33VenhTmT2zgbB8C9UHFA0,2.0299999999999976,3.048,"[37.204999999999956, -1.3340000000001282, 0.0]","[38.219999999999956, -1.3340000000001282, 0.0]","[39.23499999999996, -1.3340000000001282, 0.0]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Door_Internal-Noberne-Series_SR40_Acoustic_Door_Double_NG0:Series SR40 - FD 30S - 2085x1799mm 2:2596848:1,33VenhTmT2zgbB8C9UHEtR,3.339999999999996,0.37999999999999995,"[28.9605, 0.18999999999990497, 0.0]","[30.630499999999998, 0.18999999999990497, 0.0]","[32.30049999999999, 0.18999999999990497, 0.0]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,CWFieldsAndSonLimited_Doorset_44mmThick_LeafHalfInternalDoor:TimberCore44:2607820:1,33VenhTmT2zgbB8C9UHBZd,1.5099999999999985,0.37999999999999995,"[9.844999995244397, 0.18999999999996672, 0.0]","[10.599999995244396, 0.18999999999996672, 0.0]","[11.354999995244395, 0.18999999999996672, 0.0]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$kSEu,2.1579999999999924,0.3800000000009683,"[0.7319999952444278, -0.1900000000000072, 1.1999999999999882]","[1.810999995244424, -0.1900000000000072, 1.1999999999999882]","[2.88999999524442, -0.1900000000000072, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$kSAF,2.157999999999993,0.38000000000097156,"[4.3849999971905325, -0.19000000000001901, 1.1999999999999882]","[5.463999997190529, -0.19000000000001901, 1.1999999999999882]","[6.542999997190526, -0.19000000000001901, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$kS7h,2.1579999999999924,0.3800000000009683,"[11.66499999999999, -0.19000000000004252, 1.1999999999999882]","[12.743999999999986, -0.19000000000004252, 1.1999999999999882]","[13.822999999999983, -0.19000000000004252, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$kS5_,2.15799999999999,0.3800000000009683,"[15.30299999999999, -0.19000000000005426, 1.1999999999999882]","[16.381999999999984, -0.19000000000005426, 1.1999999999999882]","[17.46099999999998, -0.19000000000005426, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$kS3z,2.1579999999999924,0.3800000000009683,"[18.94406079235852, -0.19000000000006603, 1.1999999999999882]","[20.023060792358518, -0.19000000000006603, 1.1999999999999882]","[21.102060792358515, -0.19000000000006603, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$kS2Z,2.1579999999999946,0.38000000000097156,"[29.859999999999996, -0.1900000000001013, 1.1999999999999882]","[30.938999999999993, -0.1900000000001013, 1.1999999999999882]","[32.017999999999994, -0.1900000000001013, 1.1999999999999882]",
