Name,GUID,Length,Width,Start_Point,Mid_Point,End_Point,Building_Storey
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,70.95842048968554,0.38000000000117995,"[-0.8984204896855268, 0.0, 0.0]","[34.58078975515725, 0.0, 0.0]","[70.06000000000002, 0.0, 0.0]",EG OK
Basic Wall:STB 380:2446576,0zDfnzjsv8GO_YFRY7jWPJ,6.240000000000164,0.3800000000000002,"[69.87000000000002, 6.429999999999935, 0.0]","[69.87000000000002, 3.309999999999853, 0.0]","[69.87000000000002, 0.18999999999977124, 0.0]",EG OK
Basic Wall:STB 510:2447161,0zDfnzjsv8GO_YFRY7jWMQ,0.2599999999998406,0.5100000000000053,"[69.80499999999999, -0.4500000000000668, 0.0]","[69.80499999999999, -0.3200000000001465, 0.0]","[69.80499999999999, -0.1900000000002262, 0.0]",EG OK
Basic Wall:STB 330:2447788,0zDfnzjsv8GO_YFRY7jWiF,7.0300000000000225,0.33000000000000085,"[62.319999999999986, 6.344999999999946, 0.0]","[65.835, 6.344999999999946, 0.0]","[69.35000000000001, 6.344999999999946, 0.0]",EG OK
Basic Wall:STB 500:2450375,3I4JLWAvT5Gfm5cD7oqqYn,12.159999999999998,0.500000000000008,"[69.60000000000001, 6.692499999999941, 0.0]","[69.60000000000001, 12.77249999999994, 0.0]","[69.60000000000001, 18.85249999999994, 0.0]",EG OK
Basic Wall:STB 365:2453773,1d9XQ9CRPDnAohLRlUPiBy,6.802499999999996,0.36499999999999944,"[69.12249999999999, 19.032499999999946, 0.0]","[65.72125, 19.032499999999946, 0.0]","[62.31999999999999, 19.032499999999946, 0.0]",EG OK
Basic Wall:STB 380:2454357,2Uyn6q91TFx8F8jizB55fO,6.27,0.3800000000000002,"[69.87, 19.2799999999656, 0.0]","[69.87, 22.4149999999656, 0.0]","[69.87, 25.5499999999656, 0.0]",EG OK
Basic Wall:STB 240:2455108,2Uyn6q91TFx8F8jizB55z9,2.469999999999958,0.23999999999999744,"[69.68, 21.364999999999995, 0.0]","[68.44500000000002, 21.364999999999995, 0.0]","[67.21000000000005, 21.364999999999995, 0.0]",EG OK
Basic Wall:STB 240:2455259,2Uyn6q91TFx8F8jizB55$M,2.030000000000054,0.2399999999999975,"[67.33000000000004, 21.245000000000005, 0.0]","[67.33000000000004, 20.229999999999976, 0.0]","[67.33000000000004, 19.21499999999995, 0.0]",EG OK
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,70.58000000000003,0.3800000000011886,"[-0.9000000000000126, 25.359999999965826, 0.0]","[34.39000000000001, 25.359999999965826, 0.0]","[69.68000000000002, 25.359999999965826, 0.0]",EG OK
Basic Wall:STB 510:2457178,2Uyn6q91TFx8F8jizB55TN,0.26000000000000156,0.5100000000000053,"[69.805, 25.5499999999656, 0.0]","[69.805, 25.679999999965602, 0.0]","[69.805, 25.8099999999656, 0.0]",EG OK
Basic Wall:STB 290:2457884,2Uyn6q91TFx8F8jizB5AWH,5.954999999965673,0.2900000000000035,"[61.86500000000002, 25.169999999965626, 0.0]","[61.86500000000002, 22.19249999998279, 0.0]","[61.86500000000002, 19.214999999999954, 0.0]",EG OK
Basic Wall:STB 380:2458649,2Uyn6q91TFx8F8jizB5AqK,5.980000000000003,0.38,"[-0.7084204896855235, 0.19000000000000042, 0.0]","[-0.7084204896855235, 3.180000000000002, 0.0]","[-0.7084204896855235, 6.1700000000000035, 0.0]",EG OK
Basic Wall:STB 300:2459739,2Uyn6q91TFx8F8jizB5A5M,5.999999999999942,0.30000000000000004,"[3.3549999952444196, 0.18999999999998737, 0.0]","[3.3549999952444196, 3.189999999999958, 0.0]","[3.3549999952444196, 6.189999999999929, 0.0]",EG OK
Basic Wall:STB 300:2460090,2Uyn6q91TFx8F8jizB5A2t,5.999999999999942,0.29999999999999893,"[7.5649999952444125, 0.1899999999999733, 0.0]","[7.5649999952444125, 3.1899999999999444, 0.0]","[7.5649999952444125, 6.189999999999916, 0.0]",EG OK
Basic Wall:STB 240:2460609,2Uyn6q91TFx8F8jizB5ABC,5.999999999999942,0.24000000000000188,"[10.664999999999992, 0.1899999999999633, 0.0]","[10.664999999999992, 3.189999999999934, 0.0]","[10.664999999999992, 6.189999999999905, 0.0]",EG OK
Basic Wall:STB 380:2461526,2Uyn6q91TFx8F8jizB5APR,5.980000000034129,0.38,"[-0.7100000000000086, 25.169999999965825, 0.0]","[-0.7100000000000086, 22.179999999948762, 0.0]","[-0.7100000000000086, 19.189999999931697, 0.0]",EG OK
Basic Wall:STB 365:2462363,3nPp2FtCT3gB_lPhwnb9_K,11.20000000000003,0.3650000000000001,"[-0.4975000000000052, 18.27999999999996, 0.0]","[-0.4975000000000052, 12.679999999999943, 0.0]","[-0.4975000000000052, 7.079999999999929, 0.0]",EG OK
Basic Wall:STB 240:2464463,3nPp2FtCT3gB_lPhwnb9V0,25.334999999999983,0.2400000000000018,"[-0.5549999999999962, 19.049999999999958, 0.0]","[12.112499999999995, 19.049999999999958, 0.0]","[24.779999999999987, 19.049999999999958, 0.0]",EG OK
Basic Wall:STB 285:2468694,0ghLRwN8b8igNQ522pXHcx,0.5999999999999849,0.2850000000000002,"[62.32, 19.072499999999952, 0.0]","[62.02000000000001, 19.072499999999952, 0.0]","[61.72000000000001, 19.072499999999952, 0.0]",EG OK
Basic Wall:STB 130:2471636,1TOQDrzyr6Jej5xJiCdKWb,3.723420484929944,0.12999999999999978,"[-0.5184204896855186, 3.3449999999999385, 0.0]","[1.3432897527794534, 3.3449999999999385, 0.0]","[3.2049999952444255, 3.3449999999999385, 0.0]",EG OK
Basic Wall:STB 130:2471944,1TOQDrzyr6Jej5xJiCdKRv,2.7800000000000025,0.13000000000000023,"[1.524999999999989, 6.189999999999935, 0.0]","[1.524999999999989, 4.799999999999933, 0.0]","[1.524999999999989, 3.409999999999932, 0.0]",EG OK
Basic Wall:STB 300:2478753,0kievmOInAk9KhhiHOCBxV,1.96,0.30000000000000004,"[4.480000000447029, 1.5472463767583204, 0.0]","[5.460000000447028, 1.5472463767583204, 0.0]","[6.440000000447029, 1.5472463767583204, 0.0]",EG OK
Basic Wall:STB 380:2482101,2zkYoXGWj5KfTlVg4Nx5eR,5.999999999999942,0.3800000000000002,"[24.97, 6.189999999999859, 0.0]","[24.97, 3.189999999999888, 0.0]","[24.97, 0.1899999999999169, 0.0]",EG OK
Basic Wall:STB 260:2484617,2RK6R2IHT2mx15rRI3yVZ1,0.6250000000000767,0.26000000000000156,"[24.90999999999999, 6.8149999999999356, 0.0]","[24.90999999999999, 6.502499999999897, 0.0]","[24.90999999999999, 6.189999999999859, 0.0]",EG OK
Basic Wall:STB 115:2484980,2RK6R2IHT2mx15rRI3yVky,0.2499999999999995,0.11499999999999985,"[25.039999999999992, 6.757499999999935, 0.0]","[25.164999999999992, 6.757499999999935, 0.0]","[25.289999999999992, 6.757499999999935, 0.0]",EG OK
Basic Wall:STB 290:2486310,2RK6R2IHT2mx15rRI3yU5k,4.400000000000018,0.2900000000000007,"[25.039999999999992, 6.28499999999993, 0.0]","[27.240000000000002, 6.28499999999993, 0.0]","[29.440000000000012, 6.28499999999993, 0.0]",EG OK
Basic Wall:STB 185:2486695,2RK6R2IHT2mx15rRI3yU3l,5.950000000000013,0.18500000000000133,"[29.347500000000007, 6.139999999999915, 0.0]","[29.347500000000007, 3.164999999999909, 0.0]","[29.347500000000007, 0.1899999999999027, 0.0]",EG OK
